# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    2.74000000e+00  8.18194421e-02  5.27257670e-01  1.63192070e-01  2.81797056e-01  1.43863637e-01  8.43038441e-02  
    2.76000000e+00  8.13578005e-02  5.25574648e-01  1.62296633e-01  2.80074164e-01  1.42738212e-01  8.36120937e-02  
    2.78000000e+00  8.08965645e-02  5.23885442e-01  1.61398480e-01  2.78351521e-01  1.41611689e-01  8.29253215e-02  
    2.80000000e+00  8.04345421e-02  5.22188767e-01  1.60496437e-01  2.76624041e-01  1.40486197e-01  8.22432410e-02  
    2.82000000e+00  7.99705672e-02  5.20485381e-01  1.59591168e-01  2.74891339e-01  1.39365046e-01  8.15612918e-02  
    2.84000000e+00  7.95058762e-02  5.18774988e-01  1.58682345e-01  2.73155742e-01  1.38248720e-01  8.08807246e-02  
    2.86000000e+00  7.90407701e-02  5.17057366e-01  1.57772011e-01  2.71420762e-01  1.37133238e-01  8.02024714e-02  
    2.88000000e+00  7.85744552e-02  5.15332319e-01  1.56860946e-01  2.69683942e-01  1.36022120e-01  7.95243017e-02  
    2.90000000e+00  7.81068642e-02  5.13598214e-01  1.55948994e-01  2.67944539e-01  1.34915208e-01  7.88477254e-02  
    2.92000000e+00  7.76385316e-02  5.11855443e-01  1.55035840e-01  2.66207261e-01  1.33815043e-01  7.81754010e-02  
    2.94000000e+00  7.71693954e-02  5.10106710e-01  1.54121339e-01  2.64470277e-01  1.32719909e-01  7.75025267e-02  
    2.96000000e+00  7.66999991e-02  5.08349802e-01  1.53210547e-01  2.62733914e-01  1.31629355e-01  7.68360271e-02  
    2.98000000e+00  7.62294640e-02  5.06583415e-01  1.52299529e-01  2.60996791e-01  1.30544198e-01  7.61693906e-02  
    3.00000000e+00  7.57580302e-02  5.04809243e-01  1.51383792e-01  2.59258838e-01  1.29462613e-01  7.55035661e-02  
    3.02000000e+00  7.52866639e-02  5.03027181e-01  1.50464188e-01  2.57523860e-01  1.28384852e-01  7.48436263e-02  
    3.04000000e+00  7.48158378e-02  5.01237015e-01  1.49539029e-01  2.55788434e-01  1.27313217e-01  7.41891106e-02  
    3.06000000e+00  7.43450595e-02  4.99441341e-01  1.48610309e-01  2.54051690e-01  1.26247191e-01  7.35376246e-02  
    3.08000000e+00  7.38744638e-02  4.97638632e-01  1.47678074e-01  2.52314850e-01  1.25185687e-01  7.28904729e-02  
    3.10000000e+00  7.34049655e-02  4.95830003e-01  1.46741351e-01  2.50579801e-01  1.24127709e-01  7.22478170e-02  
    3.12000000e+00  7.29357211e-02  4.94017113e-01  1.45803024e-01  2.48844566e-01  1.23074866e-01  7.16104253e-02  
    3.14000000e+00  7.24670818e-02  4.92202145e-01  1.44860441e-01  2.47107020e-01  1.22027328e-01  7.09793149e-02  
    3.16000000e+00  7.19981915e-02  4.90384853e-01  1.43915160e-01  2.45370535e-01  1.20986986e-01  7.03454286e-02  
    3.18000000e+00  7.15286514e-02  4.88563183e-01  1.42968544e-01  2.43634844e-01  1.19948887e-01  6.97118387e-02  
    3.20000000e+00  7.10582902e-02  4.86737016e-01  1.42019590e-01  2.41894957e-01  1.18912959e-01  6.90795765e-02  
    3.22000000e+00  7.05878466e-02  4.84909438e-01  1.41067863e-01  2.40156807e-01  1.17882879e-01  6.84491660e-02  
    3.24000000e+00  7.01178701e-02  4.83080949e-01  1.40114971e-01  2.38421650e-01  1.16857289e-01  6.78215811e-02  
    3.26000000e+00  6.96469897e-02  4.81248424e-01  1.39158070e-01  2.36685280e-01  1.15834856e-01  6.71918387e-02  
    3.28000000e+00  6.91746548e-02  4.79411176e-01  1.38199269e-01  2.34943735e-01  1.14814504e-01  6.65630355e-02  
    3.30000000e+00  6.87024846e-02  4.77570879e-01  1.37239642e-01  2.33199317e-01  1.13793123e-01  6.59385176e-02  
    3.32000000e+00  6.82299222e-02  4.75729128e-01  1.36278361e-01  2.31453431e-01  1.12773347e-01  6.53130010e-02  
    3.34000000e+00  6.77577289e-02  4.73885020e-01  1.35316451e-01  2.29710286e-01  1.11754278e-01  6.46909337e-02  
    3.36000000e+00  6.72858591e-02  4.72038069e-01  1.34353617e-01  2.27967448e-01  1.10732633e-01  6.40783370e-02  
    3.38000000e+00  6.68149068e-02  4.70188673e-01  1.33391407e-01  2.26224039e-01  1.09706473e-01  6.34733506e-02  
    3.40000000e+00  6.63451280e-02  4.68337027e-01  1.32430140e-01  2.24482701e-01  1.08686645e-01  6.28750795e-02  
    3.42000000e+00  6.58759670e-02  4.66484024e-01  1.31470636e-01  2.22745045e-01  1.07675718e-01  6.22826773e-02  
    3.44000000e+00  6.54079624e-02  4.64629603e-01  1.30509829e-01  2.21013387e-01  1.06671736e-01  6.16947598e-02  
    3.46000000e+00  6.49390941e-02  4.62772144e-01  1.29546856e-01  2.19281681e-01  1.05675485e-01  6.11054949e-02  
    3.48000000e+00  6.44704080e-02  4.60914381e-01  1.28583572e-01  2.17552857e-01  1.04688101e-01  6.05226616e-02  
